項目名,車道幅員,,,,,,,
適用,本票,,,,,,,
説明,交通事故が発生した道路の幅員をいう。,,,,,,,
,「車道幅員」とは、車道のみの幅員をいい、道路種別及び中央分離帯等の有無にかかわらず、すべて（上下線）の車道の合計幅員をいう。歩車道の区分のない場合は、当該道路の幅員をいう。,,,,,,,
,,,,,,,,
,「単路」には、交差点付近及び踏切を含む。,,,,,,,
,「交差点」は、当事者Ａと当事者Bの進入道路の車道幅員の組み合わせとする。,,,,,,,
,,,,,,,,
コード,区分,備考,,,,,,
01,単路－3.5m未満,車道幅員が3.5ｍ未満の単路をいう。,,,,,,
02,単路－3.5m以上,車道幅員が3.5ｍ以上5.5m未満の単路をいう。,,,,,,
03,単路－5.5m以上,車道幅員が5.5ｍ以上9.0m未満の単路をいう。,,,,,,
04,単路－9.0m以上,車道幅員が9.0ｍ以上13.0m未満の単路をいう。,,,,,,
05,単路－13.0m以上,車道幅員が13.0ｍ以上19.5m未満の単路をいう。,,,,,,
06,単路－19.5m以上,車道幅員が19.5ｍ以上の単路をいう。,,,,,,
11,交差点－小（5.5m未満）－小,車道幅員が5.5ｍ未満と5.5ｍ未満の交差点をいう。,,,,,,
14,交差点－中（5.5m以上）－小,車道幅員が5.5ｍ以上13.0m未満と5.5m未満の交差点をいう。,,,,,,
15,交差点－中（5.5m以上）－中,車道幅員が5.5ｍ以上13.0m未満と5.5ｍ以上13.0m未満の交差点をいう。,,,,,,
17,交差点－大（13.0ｍ以上）－小,車道幅員が13.0ｍ以上と5.5ｍ未満の交差点をいう。,,,,,,
18,交差点－大（13.0ｍ以上）－中,車道幅員が13.0ｍ以上と5.5ｍ以上13.0m未満の交差点をいう。,,,,,,
19,交差点－大（13.0ｍ以上）－大,車道幅員が13.0ｍ以上と13.0ｍ以上の交差点をいう。,,,,,,
00,一般交通の場所,上記以外の道路で、不特定多数の人や車両が自由に通行できる場所として供され、現に不特定多数の人や車両が自由に通行している場所をいう。,,,,,,
,,,,,,,,
,,,,,,,,
