項目名,中央分離帯施設等,,,,,,,
適用,本票,,,,,,,
説明,交通事故が発生した道路の中央部分に設けられた交通安全施設等をいう。,,,,,,,
,,,,,,,,
コード,区分,備考,,,,,,
1,中央分離帯,車線を往復の方向別に分離するために設けられた交通安全施設のうち、グリーンベルト、ガードレール、縁石等の分離帯施設をいう。高速道路等の高架橋や段差部分において、上下線がコンクリート、のり面等で仕切られている場合は「中央分離帯」とする。,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2,中央線－高輝度標示,夜間・雨天時等における道路標示の反射輝度、視認性等を高めるため、ペイントによる道路標示にリブ（凸状）を設け又はリブを有するシート等をはり付ける道路標示をいう。,,,,,,
,,,,,,,,
,,,,,,,,
3,中央線－チャッターバー等,道路標示のうち道路の中央に設けられたチャッターバー道路鋲、石等をいう。,,,,,,
,,,,,,,,
6,中央線－ポストコーン,道路標示のうち道路の中央に設けられた標示筒（ポストコーン）をいう。チャッターバー等と併用されている場合は、「ポストコーン」とする。,,,,,,
,,,,,,,,
4,中央線－ペイント,道路標示の立ち入り禁止部分（ゼブラ・ゾーン等）として路面にペイントで印されている中央線又は路面にペイントで印されているワイド幅、２本線、普通幅等の中央線をいう。,,,,,,
,,,,,,,,
,,,,,,,,
5,中央分離なし,中央分離帯施設等のないものをいう。,,,,,,
0,一般交通の場所,上記以外の道路で、不特定多数の人や車両が自由に通行できる場所として供され、現に不特定多数の人や車両が自由に通行している場所をいう。,,,,,,
,,,,,,,,
,,,,,,,,
