項目名,当事者種別,,,,,,,
適用,本票、補充票,,,,,,,
説明,交通事故の当事者をいう。車両等（列車を含む。）の運転者が当事者の場合、運転中の車両等をもって当事者とする。,,,,,,,
,,,,,,,,
,,,,,,,,
コード,区分,備考,,,,,,
01,乗用車－大型車,道路交通法施行規則第２条に規定する大型自動車のうち乗用自動車をいう。,,,,,,
,,,,,,,,
02,乗用車－中型車,道路交通法施行規則第２条に規定する中型自動車のうち乗用自動車をいう。,,,,,,
,,,,,,,,
07,乗用車－準中型車,道路交通法施行規則第２条に規定する準中型自動車のうち乗用自動車をいう。,,,,,,
,,,,,,,,
03,乗用車－普通車,道路交通法施行規則第２条に規定する普通自動車のうち乗用自動車をいう（軽自動車、ミニカーを除く。）。,,,,,,
,,,,,,,,
,,,,,,,,
04,乗用車－軽自動車,道路運送車両法施行規則第２条別表第１に定める軽乗用自動車をいう（ミニカー以外のもの）。,,,,,,
,,,,,,,,
05,乗用車－ミニカー,普通乗用車のうち総排気量が20ｃｃを超え50ｃｃ以下のものをいう。,,,,,,
,,,,,,,,
11,貨物車－大型車,道路交通法施行規則第２条に規定する大型自動車のうち貨物自動車をいう。,,,,,,
,,,,,,,,
12,貨物車－中型車,道路交通法施行規則第２条に規定する中型自動車のうち貨物自動車をいう。,,,,,,
,,,,,,,,
17,貨物車－準中型車,道路交通法施行規則第２条に規定する準中型自動車のうち貨物自動車をいう。,,,,,,
,,,,,,,,
13,貨物車－普通車,道路交通法施行規則第２条に規定する普通自動車のうち貨物自動車をいう（軽自動車を除く。）。,,,,,,
,,,,,,,,
14,貨物車－軽自動車,道路運送車両法施行規則第２条別表第１に定める軽貨物自動車をいう。,,,,,,
21,特殊車－大型－農耕作業用,道路交通法施行規則第２条に規定する農耕作業用の大型特殊自動車をいう（農耕トラクター、刈取脱穀作業車等）。,,,,,,
,,,,,,,,
22,特殊車－大型－その他,道路交通法施行規則第２条に規定する大型特殊自動車のうち農耕作業用以外のもの（カタピラを有する自動車、ロードローラ、ショベルローダ等）をいう。,,,,,,
,,,,,,,,
,,,,,,,,
23,特殊車－小型－農耕作業用,道路交通法施行規則第２条に規定する農耕作業用の小型特殊自動車をいう（農耕トラクター、耕運機で荷台を牽引し乗車運転している場合等）。,,,,,,
,,,,,,,,
24,特殊車－小型－その他,道路交通法施行規則第２条に規定する小型特殊自動車のうち農耕作業用以外のもの（カタピラを有する自動車、ロードローラ、ショベルローダ等）をいう。,,,,,,
,,,,,,,,
,,,,,,,,
31,"二輪車－自動二輪－
小型二輪－751ｃｃ以上",二輪の自動車（側車付きのものを含む。）で、総排気量が751ｃｃ以上のものをいう。,,,,,,
,,,,,,,,
32,"二輪車－自動二輪－
小型二輪－401～750ｃｃ",二輪の自動車（側車付きのものを含む。）で、総排気量が401ｃｃ以上750ｃｃ以下のものをいう。,,,,,,
,,,,,,,,
33,"二輪車－自動二輪－
小型二輪－251～400cc",二輪の自動車（側車付きのものを含む。）で、総排気量が251ｃｃ以上400ｃｃ以下のものをいう。,,,,,,
,,,,,,,,
34,"二輪車－自動二輪－
軽二輪－126～250cc",二輪の軽自動車（側車付きのものを含む。）で、総排気量が126ｃｃ以上250ｃｃ以下のものをいう。,,,,,,
,,,,,,,,
35,"二輪車－自動二輪－
原付二種－51～125cc",二輪の原動機付自転車で、総排気量が51ｃｃ以上125ｃｃ以下のものをいう。,,,,,,
,,,,,,,,
36,二輪車－原付自転車,総排気量が50ｃｃ以下のミニカーに該当しない原動機付自転車をいう。,,,,,,
41,路面電車,架線から供給される電力により、専用軌道によらないで道路に敷設されたレール上を運転する車をいう。ただし、専用軌道と併用軌道が混在する路面電車は専用軌道であっても路面電車とする。,,,,,,
,,,,,,,,
,,,,,,,,
42,列車,路面電車以外の電車、汽車、気動車をいう。,,,,,,
51,軽車両－自転車,ペダル又はハンド・クランクを用い、かつ、人の力により運転する二輪以上の車（レールにより運転する車を除く。）であって、身体障害者用の車いす及び小児用の車以外のものをいう。,,,,,,
,,,,,,,,
,,,,,,,,
52,軽車両－駆動補助機付自転車,道路交通法施行規則第１条の３の規定による人の力を補うため原動機を用いる自転車をいう。,,,,,,
,,,,,,,,
59,軽車両－その他,自転車及び駆動補助機付自転車以外の軽車両をいう（押して歩いている耕運機等を含む。）。,,,,,,
,,,,,,,,
61,歩行者,道路を歩行中又は走行中の者、路上作業中の者、路上遊戯中の者、道路にたたずんでいる者、道路に寝そべっている者及び道路交通法施行規則第２条の３の規定する歩行者をいう。,,,,,,
,,,,,,,,
,,,,,,,,
71,"歩行者以外の道路上の人
（補充票のみ）",道路上にいた者で歩行者以外のものをいう。例えば、道路上の物件（電話ボックス等）の中にいた者、運転者のいない駐車車両、電柱の上にいた者等をいう。,,,,,,
,,,,,,,,
,,,,,,,,
72,道路外の人（補充票のみ）,屋内、田畑の中等道路外にいた者をいう。,,,,,,
75,物件等,道路上又は道路に接着して存在する電柱、防護柵、安全島、家屋等の工作物及び盛り土、切り土部の道路に面したのり面、自然山等をいい、運転者が乗車していない路上駐車中の車両を含む。ただし、駐車中の車両が自然発車等した場合は運転者が乗車しているものとみなす。,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
76,相手なし,車両等の転倒、転落事故、急停止事故等で相手方当事者がいない場合をいう。,,,,,,
,,,,,,,,
00,対象外当事者,当事者が不明のものをいう。,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
