項目名,トンネル番号,,,,
適用,高速票,,,,
説明,交通事故がトンネル内で発生した場合、そのトンネルの固有番号をいう。,,,,
,,,,,
コード（都道府県）,コード（路線）,コード（トンネル番号）,トンネル名,,
10,4001,007,ポロト,,
10,4001,009,白老,,
10,4001,011,虎杖浜,,
10,4001,013,幌別,,
10,4001,025,鷲別,,
10,4001,027,天神,,
10,4001,029,神代,,
10,4001,031,洞爺,,
10,4001,033,青葉,,
10,4001,035,虻田,,
10,4001,037,清水,,
10,4001,039,東雲,,
10,4001,041,豊浦,,
10,4001,043,高岡,,
10,4001,045,金山,,
10,4002,008,ポロト,,
10,4002,010,白老,,
10,4002,012,虎杖浜,,
10,4002,014,幌別,,
10,4002,025,鷲別,,
10,4002,027,天神,,
10,4002,029,神代,,
10,4002,031,洞爺,,
10,4002,033,青葉,,
10,4002,035,虻田,,
10,4002,037,清水,,
10,4002,039,東雲,,
10,4002,041,豊浦,,
10,4002,043,高岡,,
10,4002,045,金山,,
10,4003,015,光珠内,,
10,4003,017,美唄,,
10,4004,016,光珠内,,
10,4004,018,美唄,,
10,4011,001,若竹,,
10,4011,003,朝里,,
10,4011,005,張碓,,
10,4012,002,若竹,,
10,4012,004,朝里,,
10,4012,006,張碓,,
10,4013,047,栗山,,
10,4013,049,夕張,,
10,4013,075,久留喜,,
10,4013,077,楓,,
10,4013,079,大夕張,,
10,4013,081,長和,,
10,4013,083,穂別,,
10,4014,047,栗山,,
10,4014,049,夕張,,
10,4014,075,久留喜,,
10,4014,077,楓,,
10,4014,079,大夕張,,
10,4014,081,長和,,
10,4014,083,穂別,,
10,4017,155,新光,,
10,4017,157,天神第二,,
10,4017,159,天神第一,,
10,4017,161,天狗山,,
10,4017,163,小樽忍路,,
10,4017,165,船取山,,
10,4017,167,蘭島,,
10,4017,169,余市小樽,,
10,4018,155,新光,,
10,4018,157,天神第二,,
10,4018,159,天神第一,,
10,4018,161,天狗山,,
10,4018,163,小樽忍路,,
10,4018,165,船取山,,
10,4018,167,蘭島,,
10,4018,169,余市小樽,,
10,5001,151,豊郷,,
10,5001,153,厚賀,,
10,5002,152,豊郷,,
10,5002,154,厚賀,,
11,4001,045,金山,,
11,4001,091,八雲,,
11,4001,093,森,,
11,4001,095,鷲ノ木遺跡,,
11,4002,045,金山,,
11,4002,091,八雲,,
11,4002,093,森,,
11,4002,095,鷲ノ木遺跡,,
12,4003,019,常磐,,
12,4003,021,江丹別,,
12,4003,023,嵐山,,
12,4004,020,常磐,,
12,4004,022,江丹別,,
12,4004,024,嵐山,,
12,4013,053,第一狩勝,,
12,4013,055,第二狩勝,,
12,4013,059,東占冠,,
12,4013,061,滝の沢,,
12,4013,063,ホロカトマム,,
12,4013,065,下トマム,,
12,4013,083,穂別,,
12,4013,085,占冠,,
12,4013,087,タンネナイ,,
12,4013,089,占冠中央,,
12,4014,053,第一狩勝,,
12,4014,055,第二狩勝,,
12,4014,059,東占冠,,
12,4014,061,滝の沢,,
12,4014,063,ホロカトマム,,
12,4014,065,下トマム,,
12,4014,083,穂別,,
12,4014,085,占冠,,
12,4014,087,タンネナイ,,
12,4014,089,占冠中央,,
12,5003,097,幌糠,,
12,5003,099,藤山東,,
12,5003,101,藤山,,
12,5003,103,藤山西,,
12,5003,105,大和田,,
12,5003,171,留萌,,
12,5003,173,バンゴベ,,
12,5004,097,幌糠,,
12,5004,099,藤山東,,
12,5004,101,藤山,,
12,5004,103,藤山西,,
12,5004,105,大和田,,
12,5004,171,留萌,,
12,5004,173,バンゴベ,,
12,5007,051,愛別,,
12,5007,067,なかこし,,
12,5007,069,かみこし,,
12,5007,071,北大雪,,
12,5008,051,愛別,,
12,5008,067,なかこし,,
12,5008,069,かみこし,,
12,5008,071,北大雪,,
13,4013,055,第二狩勝,,
13,4013,057,広内,,
13,4013,107,炭山第１,,
13,4013,109,炭山第２,,
13,4013,111,新釧勝,,
13,4013,113,小音別,,
13,4013,115,衆音別,,
13,4013,117,軽満,,
13,4013,119,白涼,,
13,4013,121,カラ里,,
13,4013,123,カラマン,,
13,4013,125,カラマン別,,
13,4013,127,白音,,
13,4013,129,大曲,,
13,4013,141,縫別,,
13,4013,143,鍛高,,
13,4013,145,上庶路,,
13,4013,147,庶路,,
13,4013,149,阿寒,,
13,4014,055,第二狩勝,,
13,4014,057,広内,,
13,4014,107,炭山第１,,
13,4014,109,炭山第２,,
13,4014,111,新釧勝,,
13,4014,113,小音別,,
13,4014,115,衆音別,,
13,4014,117,軽満,,
13,4014,119,白涼,,
13,4014,121,カラ里,,
13,4014,123,カラマン,,
13,4014,125,カラマン別,,
13,4014,127,白音,,
13,4014,129,大曲,,
13,4014,141,縫別,,
13,4014,143,鍛高,,
13,4014,145,上庶路,,
13,4014,147,庶路,,
13,4014,149,阿寒,,
14,5007,071,北大雪,,
14,5007,073,白滝,,
14,5008,071,北大雪,,
14,5008,073,白滝,,
14,5011,131,第１南丘,,
14,5011,133,第２南丘,,
14,5011,135,北見ヶ丘,,
14,5011,137,寺の沢,,
14,5011,139,川東,,
14,5012,131,第１南丘,,
14,5012,133,第２南丘,,
14,5012,135,北見ヶ丘,,
14,5012,137,寺の沢,,
14,5012,139,川東,,
20,4101,002,坂梨,,
20,4101,004,碇ケ関,,
20,4101,006,大鰐,,
20,4102,001,坂梨,,
20,4102,003,碇ケ関,,
20,4102,005,大鰐,,
20,4105,007,岩渡,,
20,4105,009,稲山,,
20,4106,008,岩渡,,
20,4106,010,稲山,,
20,5020,012,是川,,
20,5021,011,是川,,
21,4101,101,一関,,
21,4101,102,平泉,,
21,4101,103,竜ケ森,,
21,4101,104,保土坂,,
21,4101,105,曲田,,
21,4101,106,梨木,,
21,4101,107,田山,,
21,4101,108,佐比内,,
21,4101,109,兄畑,,
21,4102,201,一関,,
21,4102,202,平泉,,
21,4102,203,竜ケ森,,
21,4102,204,保土坂,,
21,4102,205,曲田,,
21,4102,206,梨木,,
21,4102,207,田山,,
21,4102,208,佐比内,,
21,4102,209,兄畑,,
21,4103,310,一戸,,
21,4103,311,折爪,,
21,4104,410,一戸,,
21,4104,411,折爪,,
21,4111,510,山口,,
21,4111,511,和賀仙人,,
21,4111,512,大荒沢,,
21,4111,513,峠山,,
21,4111,514,鷲の巣,,
21,4111,515,湯田,,
21,4111,610,川尻,,
21,4112,510,山口,,
21,4112,511,和賀仙人,,
21,4112,512,大荒沢,,
21,4112,513,峠山,,
21,4112,514,鷲の巣,,
21,4112,515,湯田,,
21,4112,610,川尻,,
21,4113,710,赤部,,
21,4113,711,樺,,
21,4113,712,白土,,
21,4113,713,向落合,,
21,4113,714,遊井名田,,
21,4113,715,二郷山,,
21,4114,710,赤部,,
21,4114,711,樺,,
21,4114,712,白土,,
21,4114,713,向落合,,
21,4114,714,遊井名田,,
21,4114,715,二郷山,,
21,5010,716,鍋倉,,
21,5010,717,秋丸,,
21,5010,718,滝観洞,,
21,5010,719,新仙人,,
21,5010,720,甲子,,
21,5010,721,定内,,
21,5011,716,鍋倉,,
21,5011,717,秋丸,,
21,5011,718,滝観洞,,
21,5011,719,新仙人,,
21,5011,720,甲子,,
21,5011,721,定内,,
21,5020,802,気仙,,
21,5020,803,通岡,,
21,5020,804,笹崎,,
21,5020,805,明神前,,
21,5020,806,盛,,
21,5020,807,宇津の沢,,
21,5020,808,権現堂,,
21,5020,809,新三陸,,
21,5020,810,吉浜,,
21,5020,811,新鍬台,,
21,5020,812,荒川,,
21,5020,813,唐丹第１,,
21,5020,814,唐丹第２,,
21,5020,815,唐丹第３,,
21,5020,816,釜石,,
21,5020,817,八雲第１,,
21,5020,818,八雲第２,,
21,5020,819,八雲第３,,
21,5020,820,水海,,
21,5020,821,両石,,
21,5020,822,恋の峠,,
21,5020,823,鵜住居第１,,
21,5020,824,鵜住居第２,,
21,5020,825,小槌第１,,
21,5020,826,小槌第２,,
21,5020,827,大槌第１,,
21,5020,828,大槌第２,,
21,5020,829,船越,,
21,5020,830,山田,,
21,5020,831,間木戸,,
21,5020,832,田名部,,
21,5020,833,豊間根,,
21,5020,834,津軽石,,
21,5020,835,千徳,,
21,5020,836,山口第１,,
21,5020,837,山口第２,,
21,5020,838,崎山第１,,
21,5020,839,崎山第２,,
21,5020,840,樫内第１,,
21,5020,841,樫内第２,,
21,5020,842,田老第１,,
21,5020,843,田老第２,,
21,5020,844,田老第３,,
21,5020,845,田老第４,,
21,5020,846,田老第５,,
21,5020,847,重津部,,
21,5020,848,接待第１,,
21,5020,849,接待第２,,
21,5020,850,岩泉小本,,
21,5020,851,岩泉長内,,
21,5020,852,岩泉,,
21,5020,853,大牛内,,
21,5021,802,気仙,,
21,5021,803,通岡,,
21,5021,804,笹崎,,
21,5021,805,明神前,,
21,5021,806,盛,,
21,5021,807,宇津の沢,,
21,5021,808,権現堂,,
21,5021,809,新三陸,,
21,5021,810,吉浜,,
21,5021,811,新鍬台,,
21,5021,812,荒川,,
21,5021,813,唐丹第１,,
21,5021,814,唐丹第２,,
21,5021,815,唐丹第３,,
21,5021,816,釜石,,
21,5021,817,八雲第１,,
21,5021,818,八雲第２,,
21,5021,819,八雲第３,,
21,5021,820,水海,,
21,5021,821,両石,,
21,5021,822,恋の峠,,
21,5021,823,鵜住居第１,,
21,5021,824,鵜住居第２,,
21,5021,825,小槌第１,,
21,5021,826,小槌第２,,
21,5021,827,大槌第１,,
21,5021,828,大槌第２,,
21,5021,829,船越,,
21,5021,830,山田,,
21,5021,831,間木戸,,
21,5021,832,田名部,,
21,5021,833,豊間根,,
21,5021,834,津軽石,,
21,5021,835,千徳,,
21,5021,836,山口第１,,
21,5021,837,山口第２,,
21,5021,838,崎山第１,,
21,5021,839,崎山第２,,
21,5021,840,樫内第１,,
21,5021,841,樫内第２,,
21,5021,842,田老第１,,
21,5021,843,田老第２,,
21,5021,844,田老第３,,
21,5021,845,田老第４,,
21,5021,846,田老第５,,
21,5021,847,重津部,,
21,5021,848,接待第１,,
21,5021,849,接待第２,,
21,5021,850,岩泉小本,,
21,5021,851,岩泉長内,,
21,5021,852,岩泉,,
21,5021,853,大牛内,,
21,5050,901,磯鶏,,
21,5050,902,小山田,,
21,5050,903,松山,,
21,5050,904,田鎖,,
21,5051,901,磯鶏,,
21,5051,902,小山田,,
21,5051,903,松山,,
21,5051,904,田鎖,,
22,4115,002,星野城,,
22,4115,004,笹谷,,
22,4116,001,星野城,,
22,4116,003,笹谷,,
22,5003,006,立町,,
22,5003,008,川内,,
22,5003,010,青葉山,,
22,5004,005,立町,,
22,5004,007,川内,,
22,5004,009,青葉山,,
22,5007,011,鴇波,,
22,5007,012,登米志津川,,
22,5007,013,新井田１号,,
22,5007,014,新井田２号,,
22,5007,015,新井田３号,,
22,5007,016,清水,,
22,5007,019,霧立,,
22,5007,020,県境,,
22,5007,021,気仙沼１号,,
22,5007,022,大峠山,,
22,5007,023,気仙沼２号,,
22,5008,011,鴇波,,
22,5008,012,登米,,
22,5008,013,新井田１号,,
22,5008,014,新井田２号,,
22,5008,015,新井田３号,,
22,5008,016,清水,,
22,5008,019,霧立,,
22,5008,020,県境,,
22,5008,021,気仙沼１号,,
22,5008,022,大峠山,,
22,5008,023,気仙沼２号,,
22,5013,018,松ヶ房,,
22,5014,018,松ヶ房,,
23,4101,101,石通,,
23,4101,103,笹の渡,,
23,4101,105,五の宮,,
23,4101,107,亀田山,,
23,4101,109,坂梨,,
23,4102,102,石通,,
23,4102,104,笹の渡,,
23,4102,106,五の宮,,
23,4102,108,亀田山,,
23,4102,110,坂梨,,
23,4111,201,黒沢,,
23,4111,203,山内,,
23,4111,205,土渕,,
23,4111,207,大沢,,
23,4111,209,横手,,
23,4111,211,協和,,
23,4112,202,黒沢,,
23,4112,204,山内,,
23,4112,206,土渕,,
23,4112,208,大沢,,
23,4112,210,横手,,
23,4112,212,協和,,
23,4125,407,芦川,,
23,4125,409,二古,,
23,4125,411,道川,,
23,4125,413,板沢,,
23,4126,408,芦川,,
23,4126,410,二古,,
23,4126,412,道川,,
23,4126,414,板沢,,
23,4127,301,市野,,
23,4128,302,市野,,
23,4129,501,釈迦内,,
23,4129,503,大茂内第一,,
23,4129,505,大茂内第二,,
23,4129,507,雪沢第一,,
23,4129,509,雪沢第二,,
23,4130,502,釈迦内,,
23,4130,504,大茂内第一,,
23,4130,506,大茂内第二,,
23,4130,508,雪沢第一,,
23,4130,510,雪沢第二,,
23,5009,401,出戸,,
23,5009,403,西目,,
23,5009,405,孔雀館,,
23,5010,402,出戸,,
23,5010,404,西目,,
23,5010,406,孔雀館,,
23,5013,407,片山,,
23,5014,408,片山,,
24,4115,101,笹谷,,
24,4115,102,岩の沢,,
24,4115,103,新山,,
24,4115,104,宝沢,,
24,4115,105,白鬚,,
24,4115,106,唐松,,
24,4115,107,盃山,,
24,4115,108,双月,,
24,4115,109,山家,,
24,4115,110,高原,,
24,4115,111,青野,,
24,4115,112,平野山,,
24,4115,113,間沢,,
24,4115,114,綱取東,,
24,4115,115,綱取,,
24,4115,116,水沢,,
24,4115,117,風明山,,
24,4115,118,仁田山,,
24,4115,119,月山沢,,
24,4115,120,田麦俣,,
24,4115,121,下山,,
24,4115,122,三栗屋,,
24,4115,123,越中山,,
24,4115,124,立岩,,
24,4116,201,笹谷,,
24,4116,202,岩の沢,,
24,4116,203,新山,,
24,4116,204,宝沢,,
24,4116,205,白鬚,,
24,4116,206,唐松,,
24,4116,207,盃山,,
24,4116,208,双月,,
24,4116,209,山家,,
24,4116,210,高原,,
24,4116,211,青野,,
24,4116,212,平野山,,
24,4116,213,間沢,,
24,4116,214,綱取東,,
24,4116,215,綱取,,
24,4116,216,水沢,,
24,4116,217,風明山,,
24,4116,218,仁田山,,
24,4116,219,月山沢,,
24,4116,220,田麦俣,,
24,4116,221,下山,,
24,4116,222,三栗屋,,
24,4116,223,越中山,,
24,4116,224,立岩,,
24,4123,101,天魄山,,
24,4123,102,温海,,
24,4123,103,堅苔沢,,
24,4123,104,小波渡,,
24,4123,105,三瀬,,
24,4124,101,天魄山,,
24,4124,102,温海,,
24,4124,103,海苔沢,,
24,4124,104,小波渡,,
24,4124,105,三瀬,,
24,4141,024,栗子,,
24,4141,025,水窪第一,,
24,4141,026,水窪第二,,
24,4142,024,栗子トンネル,,
24,4142,025,水窪第一,,
24,4142,026,水窪第二,,
24,4143,040,赤湯,,
24,4143,041,高ツムジ山,,
24,4143,042,大洞,,
24,4143,043,中山,,
24,4143,044,にしごう,,
24,4143,045,三吉山,,
24,4143,046,山形蔵王,,
24,4143,047,村山トンネル,,
24,4144,040,赤湯,,
24,4144,041,高ツムジ山,,
24,4144,042,大洞,,
24,4144,043,中山,,
24,4144,044,にしごう,,
24,4144,045,三吉山,,
24,4144,046,山形蔵王,,
24,4144,047,村山トンネル,,
24,5403,030,舟形,,
24,5404,030,舟形,,
25,4101,001,福島,,
25,4102,002,福島,,
25,4117,001,高玉東,,
25,4117,003,高玉西,,
25,4117,005,新中山,,
25,4117,007,鞍手山,,
25,4117,009,関都,,
25,4117,011,七折,,
25,4117,013,束松,,
25,4117,015,鳥屋山,,
25,4117,017,西会津,,
25,4117,020,長坂,,
25,4117,022,龍ヶ嶽,,
25,4117,024,黒森山,,
25,4117,026,合戸,,
25,4117,028,渡戸,,
